state,n,che40cap,che10
Bihar,1802,28.5,41.4
Jammu & Kashmir,726,27.6,48.3
West Bengal,1536,27.4,42.9
Uttar Pradesh,2152,27.0,41.8
Kerala,1204,25.9,46.7
Maharashtra,1788,24.0,43.2
Telangana,1055,23.4,38.7
Odisha,1234,20.8,35.3
Punjab,1002,19.2,39.3
Arunachal Pradesh,316,19.2,25.9
Manipur,603,19.0,36.2
Assam,815,19.0,31.0
Madhya Pradesh,1300,18.7,31.3
Andhra Pradesh,1100,18.3,31.8
Jharkhand,1160,17.9,29.7
Haryana,842,17.5,33.2
Tripura,458,17.3,32.0
Himachal Pradesh,618,16.6,36.3
Rajasthan,1074,16.6,35.8
Meghalaya,409,16.1,22.5
Uttarakhand,638,14.7,27.9
Tamil Nadu,1533,12.9,22.7
Delhi,493,12.8,27.2
Chandigarh,394,12.4,33.3
Lakshadweep,500,11.5,17.6
Karnataka,1001,11.3,26.5
Sikkim,437,10.7,24.8
Puducherry,639,10.7,20.5
Mizoram,526,10.4,24.3
Goa,637,10.2,32.0
Gujarat,992,9.8,21.7
Chhattisgarh,779,9.3,19.0
Nagaland,601,9.0,12.2
Dadra & Nagar Haveli,450,7.6,15.4
Daman & Diu,433,7.0,15.2
Andaman & Nicobar,519,4.1,7.0
